sum_1,sum_2,norm,accel,scan
-0.3114570081233978,-0.6084039807319641,0.511924,70.498229,25155000.0
-0.2543089985847473,-0.6071580052375793,0.418852,102.759997,25157500.0
-0.2641099989414215,-0.6087009906768799,0.433892,75.934202,25160000.0
-0.3195030093193054,-0.6127560138702393,0.52142,71.319963,25162500.0
-0.3104029893875122,-0.6121609807014465,0.507061,85.507778,25165000.0
-0.31895700097084045,-0.614067018032074,0.519417,39.355924,25155000.0
-0.2571460008621216,-0.6089950203895569,0.422246,72.105945,25157500.0
-0.26029500365257263,-0.6074920296669006,0.428474,36.669255,25160000.0
-0.3194330036640167,-0.6115220189094543,0.522357,40.855524,25162500.0
-0.3202340006828308,-0.6114209890365601,0.523754,26.039665,25165000.0
-0.3205629885196686,-0.611303985118866,0.524392,29.636392,25155000.0
-0.2681010067462921,-0.6095089912414551,0.439863,18.907341,25157500.0
-0.2577260136604309,-0.6080530285835266,0.423856,17.478525,25160000.0
-0.31408101320266724,-0.6110879778862,0.51397,20.384807,25162500.0
-0.32483699917793274,-0.6139630079269409,0.529082,-23.833095,25165000.0
-0.32196301221847534,-0.6161190271377563,0.522566,30.356324,25155000.0
-0.27229800820350647,-0.613739013671875,0.44367,-8.038505,25157500.0
-0.2572050094604492,-0.6121469736099243,0.420169,-0.034705,25160000.0
-0.3028630018234253,-0.6153590083122253,0.492173,-18.7559,25162500.0
-0.32735100388526917,-0.617044985294342,0.530514,-5.024321,25165000.0
-0.3247770071029663,-0.6167389750480652,0.526604,-10.343973,25155000.0
-0.2793479859828949,-0.6152009963989258,0.454076,-22.064134,25157500.0
-0.25686100125312805,-0.6124699711799622,0.419385,-20.847105,25160000.0
-0.3059839904308319,-0.6151120066642761,0.497445,-24.055477,25162500.0
-0.32890599966049194,-0.6162800192832947,0.533695,-21.891281,25165000.0
-0.33065998554229736,-0.6151440143585205,0.537534,-52.955695,25155000.0
-0.27318400144577026,-0.6160150170326233,0.44347,-1.542992,25157500.0
-0.2527100145816803,-0.6127060055732727,0.412449,-47.457534,25160000.0
-0.29889199137687683,-0.6182850003242493,0.483421,-36.990336,25162500.0
-0.328792005777359,-0.6199020147323608,0.530394,-35.070255,25165000.0
-0.3294689953327179,-0.6214079856872559,0.530198,-38.535511,25155000.0
-0.2832399904727936,-0.6185719966888428,0.457893,-27.455811,25157500.0
-0.2535119950771332,-0.6162329912185669,0.411391,-34.00749,25160000.0
-0.3035680055618286,-0.6162949800491333,0.492568,-22.311041,25162500.0
-0.32902398705482483,-0.6169149875640869,0.533338,-15.88911,25165000.0
-0.3288410007953644,-0.6154900193214417,0.534275,-18.286416,25155000.0
-0.2853020131587982,-0.6160640120506287,0.463104,-38.448441,25157500.0
-0.2600950002670288,-0.6144239902496338,0.423315,15.67519,25160000.0
-0.3083600103855133,-0.6188949942588806,0.498244,-3.427089,25162500.0
-0.32909199595451355,-0.619458019733429,0.531258,-22.566067,25165000.0
-0.3187989890575409,-0.6186209917068481,0.515339,47.974712,25155000.0
-0.2773919999599457,-0.6169319748878479,0.449631,-4.005872,25157500.0
-0.2572770118713379,-0.6168869733810425,0.417056,19.019278,25160000.0
